dma_name,geometry,pipe_size
DM-53-08-01-02,POINT (688784.5176001571 1524921.967999998),300.0
DM-53-08-01-01,POINT (689564.6872001588 1527958.909299996),300.0
DM-53-06-06-01,POINT (686418.0050001441 1526699.954499998),300.0
DM-53-06-05-02,POINT (688756.2671001552 1524920.992599997),300.0
DM-53-06-05-01,POINT (687632.0133001504 1527577.669599996),300.0
DM-53-06-04-01,POINT (687032.7473001485 1527239.527099996),300.0
DM-53-06-03-01,POINT (686390.5613001463 1526736.586399997),300.0
DM-53-06-02-01,POINT (685750.3812001431 1526354.025099996),300.0
DM-53-06-01-02,POINT (685039.1544001428 1525984.796099996),300.0
DM-53-06-01-01,POINT (685013.917700139 1526022.857999997),300.0
DM-53-05-07-03,POINT (702500.4459002257 1532231.002299995),400.0
DM-53-05-07-02,POINT (701875.5850002206 1526877.481299997),
DM-53-05-07-01,POINT (702497.544200225 1532255.210099996),300.0
DM-53-05-06-01,POINT (699857.0831002106 1527057.634799995),300.0
DM-53-05-05-01,POINT (700230.925600211 1530288.643499996),300.0
DM-53-05-04-01,POINT (700213.3325002113 1530312.177999994),300.0
DM-53-05-03-01,POINT (701129.2972002163 1532156.180799996),0.0
DM-53-05-02-01,POINT (698035.5476002068 1527224.351199995),0.0
DM-53-05-01-03,POINT (690082.9837001595 1528963.708299996),0.0
DM-53-05-01-02,POINT (692039.8509001695 1527772.172799996),
DM-53-05-01-01,POINT (689568.8283001602 1527992.381599996),
DM-53-04-02-02,POINT (701117.4855002188 1533207.369299995),100.0
DM-53-04-02-01,POINT (701379.5440002183 1532754.729799996),0.0
DM-53-04-01-02,POINT (700340.4210002145 1532975.951499997),0.0
DM-53-03-04-02,POINT (687775.2926001509 1529899.931599998),0.0
DM-53-03-04-01,POINT (688245.4980001542 1528713.210099997),300.0
DM-53-03-03-01,POINT (687393.7885001516 1531236.053099997),300.0
DM-53-03-02-01,POINT (687148.8809001476 1535574.320999996),300.0
DM-53-03-01-02,POINT (693391.9291001775 1539482.807099995),300.0
DM-53-03-01-01,POINT (688613.2760001532 1538514.732899994),300.0
DM-53-02-06-02,POINT (686091.1957001451 1528037.000199996),400.0
DM-53-02-06-01,POINT (688223.9140001525 1528475.503499995),300.0
DM-53-02-05-02,POINT (685440.1735001421 1527216.790699996),300.0
DM-53-02-05-01,POINT (685575.2863001421 1527659.428899996),300.0
DM-53-02-04-02,POINT (686469.1348001466 1528335.835799996),300.0
DM-53-02-04-01,POINT (687749.9627001535 1529889.878199998),
DM-53-02-03-02,POINT (686063.6941001446 1528066.170799998),400.0
DM-53-02-03-01,POINT (685603.2500001407 1527689.366299996),
DM-53-02-02-01,POINT (683710.0080001375 1528504.541299998),300.0
DM-53-02-01-01,POINT (683683.0681001367 1528516.158499997),300.0
DM-53-01-06-02,POINT (687155.2715001488 1532738.131499997),
DM-53-01-06-01,POINT (687134.641200148 1534312.840899996),
DM-53-01-05-02,POINT (683651.748900135 1529447.124699999),0.0
DM-53-01-04-02,POINT (683340.1135001343 1530767.562099998),300.0
DM-53-01-03-01,POINT (686130.5283001445 1534189.612799997),300.0
DM-53-01-02-02,POINT (685426.8128001429 1533061.110699997),300.0
DM-53-01-01-02,POINT (686728.4785001469 1538642.674099997),300.0
DM-17-11-06-02,POINT (698509.7025002026 1493620.308199994),0.0
DM-17-11-05-02,POINT (694840.4229001839 1494353.569499997),300.0
DM-17-11-05-01,POINT (696138.8929001918 1494251.939799997),300.0
DM-17-11-03-03,POINT (692956.2909001758 1494204.852199995),300.0
DM-17-11-03-02,POINT (690885.0657001671 1493341.337799998),300.0
DM-17-11-03-01,POINT (684307.2030001387 1494302.560699996),0.0
DM-17-11-02-04,POINT (682841.6818001332 1497808.173599996),0.0
