UZ5601	0	1188
	1	1072
	2	1087
	3	1087
	4	1087
	5	1688
	6	2203
	7	2492
	8	2485
	9	2507
	10	2463.5
	11	2355
	12	2253.5
	13	2166.5
	14	2108.5
	15	2014
	16	2130.5
	17	2289.5
	18	2369.5
	19	2377
	20	2391
	21	2304
	22	2145
	23	1739
UZ5505	0	464
	1	420
	2	376.5
	3	362.5
	4	347.5
	5	434.5
	6	833
	7	1123
	8	1210
	9	1130.5
	10	1036
	11	1079.5
	12	1000
	13	942
	14	920
	15	956
	16	934.5
	17	992.5
	18	1050.5
	19	1036
	20	978
	21	942
	22	797
	23	478
UZ5415	0	2246
	1	1253
	2	1340
	3	1439
	4	1485.5
	5	4596.5
	6	6309.5
	7	7129
	8	7166.5
	9	7271.5
	10	7033
	11	6766.5
	12	6542.5
	13	6210.5
	14	6014.5
	15	5974
	16	6089.5
	17	6673
	18	6815
	19	6904
	20	6889
	21	6685
	22	6089
	23	4862
UZ5413	0	513
	1	435
	2	417
	3	430.5
	4	435
	5	691
	6	1039
	7	1247.5
	8	1239
	9	1235
	10	1195.5
	11	1143.5
	12	1008.5
	13	956.5
	14	926
	15	917.5
	16	934.5
	17	1026
	18	1078
	19	1104
	20	1122
	21	1061
	22	974
	23	800
UZ5412	0	2029
	1	1884
	2	1898.5
	3	1913
	4	1898.5
	5	2753.5
	6	3565
	7	3826
	8	3898.5
	9	3927.5
	10	3797
	11	3666.5
	12	3739
	13	3550.5
	14	3405.5
	15	3434.5
	16	3478
	17	3739
	18	3826
	19	3942
	20	3942
	21	3797
	22	3536
	23	2956
UZ5411	0	927
	1	927
	2	898
	3	883.5
	4	912.5
	5	1376.5
	6	1898.5
	7	2174
	8	2130.5
	9	2174
	10	2058
	11	1985.5
	12	1956.5
	13	1811.5
	14	1797
	15	1753.5
	16	1826
	17	2014.5
	18	2130.5
	19	2116
	20	2116
	21	2000
	22	1826
	23	1478
UZ5408	0	768
	1	609
	2	616
	3	616
	4	630.5
	5	956.5
	6	1471
	7	1790
	8	1761
	9	1732
	10	1696
	11	1623.5
	12	1434.5
	13	1355
	14	1326
	15	1297
	16	1347.5
	17	1478
	18	1572.5
	19	1616
	20	1623
	21	1478
	22	1391
	23	1116
UZ5306	0	1344
	1	1387
	2	1257
	3	1213.5
	4	1214
	5	1423
	6	1871
	7	2203.5
	8	2514.5
	9	2543
	10	2528.5
	11	2463.5
	12	2081
	13	1900
	14	1885.5
	15	1828
	16	1748.5
	17	1979.5
	18	2210.5
	19	2240
	20	2225
	21	2124
	22	1835
	23	1560
UZ5304	0	2057
	1	2181
	2	2104
	3	2233
	4	2363.5
	5	3047.5
	6	4290
	7	5134.5
	8	5616
	9	5530.5
	10	5486
	11	5210.5
	12	4290
	13	3963.5
	14	4010
	15	4014
	16	3908
	17	4536
	18	5088.5
	19	4808
	20	4797
	21	4418
	22	3894
	23	2732
UZ5303	0	2128
	1	2404.5
	2	2317
	3	2228
	4	2224
	5	2684
	6	3650
	7	4482
	8	4992
	9	4984.5
	10	5093.5
	11	4925
	12	4032.5
	13	3638.5
	14	3628.5
	15	3617
	16	3364.5
	17	3878
	18	4309
	19	4338
	20	4258
	21	4150
	22	3500
	23	2582
UZ1709	0	1459
	1	1199
	2	1084
	3	1214
	4	1192
	5	2687.5
	6	3042
	7	2962.5
	8	2911.5
	9	2933.5
	10	2847
	11	2861.5
	12	2912
	13	2977
	14	2969.5
	15	2977
	16	2991.5
	17	2977
	18	2948
	19	2940.5
	20	2919
	21	2890
	22	1835
	23	1561
UZ1702	0	2878
	1	2849
	2	2907
	3	2616
	4	2703
	5	2005.5
	6	2921.5
	7	4287.5
	8	4448
	9	4491
	10	4215
	11	3938.5
	12	3488.5
	13	3067
	14	2936
	15	2834.5
	16	2907
	17	3255.5
	18	3372
	19	3546
	20	3634
	21	3750
	22	3721
	23	3430
UZ1609	0	1913
	1	2000
	2	2101.5
	3	2072.5
	4	2087
	5	2116
	6	3999.5
	7	4260
