,BANGPLEE,LADKRABUNG,MAHASAWAT,MINBURI,PETKASEM,RATBURANA,SUMRONG
39,DM-17-07-10-03,DM-13-05-11-01,DM-11-03-09-01,DM-53-01-05-05,DM-11-07-50-01,DM-14-06-04-01,DM-13-07-03-01
40,DM-17-08-01-02,DM-13-05-12-01,DM-11-03-09-02,DM-53-01-06-01,DM-11-07-51-01,DM-14-06-04-02,DM-13-07-03-02
41,DM-17-08-02-01,DM-13-06-02-01,DM-11-03-32-01,DM-53-01-06-02,DM-11-07-52-01,DM-14-06-04-03,DM-13-07-04-01
42,DM-17-08-02-02,DM-13-06-02-02,DM-11-03-34-02,DM-53-02-01-01,DM-11-07-53-05,DM-14-06-04-04,DM-13-07-04-02
43,DM-17-08-02-03,DM-13-06-02-03,DM-11-05-01-01,DM-53-02-02-01,DM-11-07-54-01,DM-14-06-05-01,DM-13-07-04-03
44,DM-17-08-03-01,DM-55-02-03-01,DM-11-05-04-01,DM-53-02-03-03,DM-11-07-54-02,DM-14-06-06-01,DM-13-07-05-01
45,DM-17-08-03-02,DM-55-03-01-01,DM-11-05-26-01,DM-53-02-04-01,DM-11-07-55-01,DM-14-06-06-02,DM-13-07-05-02
46,DM-17-08-04-01,DM-55-03-01-02,DM-11-05-29-01,DM-53-02-04-02,DM-11-07-56-01,DM-14-07-01-01,DM-13-07-06-01
47,DM-17-08-04-02,DM-55-03-02-01,DM-11-05-30-01,DM-53-02-04-03,DM-11-07-57-01,DM-14-07-01-02,DM-13-07-06-02
48,DM-17-08-04-03,DM-55-03-03-01,DM-11-06-02-02,DM-53-02-05-01,DM-11-07-57-02,DM-14-07-01-03,DM-13-07-06-03
49,DM-17-08-04-04,DM-55-03-04-01,DM-11-06-03-01,DM-53-02-05-02,DM-11-08-01-01,DM-14-07-04-01,DM-13-07-07-01
50,DM-17-08-04-05,DM-55-04-01-01,DM-11-06-18-01,DM-53-02-06-01,DM-11-08-02-01,DM-14-07-06-01,DM-13-07-07-02
51,DM-17-09-01-01,DM-55-04-01-03,DM-11-06-18-02,DM-53-02-06-02,DM-11-08-03-01,DM-14-07-07-01,DM-13-07-07-04
52,DM-17-09-01-02,DM-55-04-01-04,DM-11-06-24-01,DM-53-03-01-01,DM-11-08-05-01,DM-14-07-08-01,DM-13-07-07-05
53,DM-17-09-02-02,DM-55-04-02-01,DM-54-01-05-01,DM-53-03-01-02,DM-11-08-07-01,DM-14-09-01-01,DM-13-07-07-06
54,DM-17-09-03-01,DM-55-04-02-04,DM-54-01-05-02,DM-53-03-01-03,DM-11-08-08-02,DM-14-09-02-01,DM-14-07-02-01
55,DM-17-09-04-01,DM-55-04-02-05,DM-54-01-06-01,DM-53-03-02-01,DM-11-08-09-02,DM-14-09-02-02,DM-14-07-02-02
56,DM-17-09-05-01,DM-55-04-03-01,DM-54-02-03-01,DM-53-03-03-01,DM-11-08-09-03,DM-14-09-02-03,DM-14-07-03-01
57,DM-17-09-06-01,DM-55-04-03-03,DM-54-02-04-01,DM-53-03-03-02,DM-11-08-10-02,DM-14-09-03-01,DM-14-07-03-02
58,DM-17-09-07-01,DM-55-04-03-04,DM-54-02-04-02,DM-53-03-04-01,DM-11-08-13-02,DM-14-10-01-01,DM-14-07-03-03
59,DM-17-09-07-02,DM-55-04-03-05,DM-54-02-04-03,DM-53-03-04-02,DM-11-08-16-01,DM-14-10-02-01,DM-14-07-03-04
60,DM-17-09-07-03,DM-55-04-04-01,DM-54-02-05-01,DM-53-04-01-01,DM-11-08-20-01,DM-14-10-03-01,DM-14-07-05-01
61,DM-17-10-04-01,DM-55-04-04-02,DM-54-02-05-02,DM-53-04-01-02,DM-11-08-21-01,DM-14-10-03-02,DM-14-11-01-01
62,DM-17-10-04-02,DM-55-04-05-01,DM-54-03-01-01,DM-53-04-01-03,DM-11-08-22-01,DM-14-10-04-02,DM-14-11-01-02
63,DM-17-10-05-01,DM-55-05-01-02,DM-54-03-01-02,DM-53-04-02-01,DM-11-08-23-01,DM-14-10-05-01,DM-14-11-02-01
64,DM-17-10-06-01,DM-55-05-02-01,DM-54-03-01-03,DM-53-04-02-02,DM-11-10-01-01,DM-14-10-05-02,DM-14-11-02-02
65,DM-17-10-07-01,DM-55-05-03-01,DM-54-03-02-01,DM-53-04-02-03,DM-11-10-02-01,DM-14-10-06-01,DM-14-11-03-01
66,DM-17-10-07-02,DM-55-05-03-02,DM-54-03-02-02,DM-53-05-01-03,DM-11-10-04-01,DM-14-10-07-01,DM-14-11-06-01
67,DM-17-11-01-02,DM-55-05-04-01,DM-54-04-01-01,DM-53-05-01-04,DM-11-10-05-01,DM-14-10-07-02,DM-14-11-06-03
68,DM-17-11-01-03,DM-55-05-04-02,DM-54-04-02-01,DM-53-05-02-01,DM-11-10-05-02,DM-14-11-04-01,DM-17-01-02-01
69,DM-17-11-01-04,DM-55-05-05-01,DM-54-04-02-02,DM-53-05-03-01,DM-11-10-06-01,DM-14-11-05-01,DM-17-01-02-02
70,DM-17-11-02-01,DM-55-06-07-01,DM-54-04-03-01,DM-53-05-03-02,DM-11-10-07-01,DM-14-11-05-02,DM-17-01-03-01
71,DM-17-11-02-02,DM-55-07-01-01,DM-54-04-03-02,DM-53-05-03-03,DM-11-10-07-02,DM-14-11-06-02,DM-17-01-03-02
72,DM-17-11-02-03,DM-55-07-03-01,DM-54-04-03-03,DM-53-05-03-04,DM-11-10-08-01,DM-14-11-07-01,DM-17-01-04-01
73,DM-17-11-02-04,DM-55-07-04-02,DM-54-04-04-01,DM-53-05-04-01,DM-11-10-11-02,DM-14-11-07-02,DM-17-01-05-01
74,DM-17-11-02-05,DM-55-07-05-01,DM-54-04-04-02,DM-53-05-05-01,DM-11-10-12-01,DM-14-11-08-01,DM-17-01-05-02
75,DM-17-11-03-01,DM-55-07-05-02,DM-54-04-04-03,DM-53-05-06-01,DM-11-10-12-02,DM-14-11-08-02,DM-17-01-06-01
76,DM-17-11-03-02,DM-55-07-06-02,DM-54-04-04-04,DM-53-05-07-01,DM-11-10-13-01,DM-14-11-09-01,DM-17-01-06-02
77,DM-17-11-03-03,DM-55-07-06-04,DM-54-05-01-01,DM-53-05-07-03,DM-11-10-14-01,DM-14-11-10-01,DM-17-01-07-02
78,DM-17-11-04-01,DM-55-07-06-05,DM-54-05-01-02,DM-53-05-10-02,DM-11-10-14-02,DM-14-11-11-01,DM-17-01-08-01
79,DM-17-11-04-02,DM-55-07-06-06,DM-54-05-02-01,DM-53-05-11-02,DM-11-10-15-02,DM-14-11-12-01,DM-17-01-08-02
