DM_inlet,BaseDemand
DEFAULTFLOW,1.0
DM-01-01-01-01F,104.11654216512908
DM-01-01-02-01F,121.29173949121258
DM-01-01-02-02F,503.2465270181621
DM-01-01-03-01F,92.38382849980962
DM-01-01-03-02F,141.43395844583281
DM-01-01-03-03F,228.149467585078
DM-01-01-04-01F,211.9350073666417
DM-01-01-05-01F,313.7982819729139
DM-01-01-06-01F,46.685214157706106
DM-01-01-06-02F,134.64015907638392
DM-01-02-01-01F,92.32944145604603
DM-01-02-01-02F,127.78306845101854
DM-01-02-02-02F,43.86871351496324
DM-01-02-03-02F,118.23713195348354
DM-01-02-04-02F,151.16705996016913
DM-01-02-05-01F,130.4243378640538
DM-01-03-01-01F,146.54764508338172
DM-01-03-02-01F,71.62676255922953
DM-01-03-03-01F,148.70525184254842
DM-01-03-04-01F,173.3732625952366
DM-01-03-05-01F,480.2845529178173
DM-01-03-06-01F,74.1107263214973
DM-01-03-06-03F,179.0359233705135
DM-01-04-01-01F,132.31143463824733
DM-01-04-02-01F,277.35421136258714
DM-01-04-03-01F,86.22309061021578
DM-01-04-03-02F,198.3299138625148
DM-01-04-04-01F,242.15283248770973
DM-01-04-05-01F,244.43612554770758
DM-01-04-06-01F,357.9538192338867
DM-01-04-06-02F,3.3200160510744468
DM-01-04-07-01F,276.1608970038388
DM-01-05-01-01F,215.86777678503935
DM-01-05-01-02F,113.61165052843997
DM-01-05-02-01F,189.22406904684954
DM-01-05-03-01F,161.78114790227323
DM-01-05-03-02F,211.0536738327484
DM-01-05-04-01F,207.42988019598644
DM-01-05-04-02F,186.32322110892758
DM-01-06-01-01F,111.84203186518191
DM-01-06-01-02F,102.19842278298428
DM-01-06-02-04F,0.06682215509960461
DM-01-06-02-05F,123.76855126755106
DM-01-06-03-01F,133.16313952100728
DM-01-06-03-02F,155.94210949814243
DM-01-06-04-01F,182.6612661371189
DM-01-06-04-02F,185.66823732674175
DM-01-06-05-01F,159.1984723758362
DM-01-06-05-02F,18.49885159096951
DM-01-06-05-03F,70.2935023175883
DM-01-06-05-04F,120.80477689914922
DM-01-07-01-01F,192.91896151996778
DM-01-07-02-01F,367.6605199425358
DM-01-07-02-02F,0.0
DM-01-07-03-01F,144.30080440690097
DM-01-07-03-02F,136.916206543666
DM-01-07-03-04F,28.303618953745257
DM-01-07-04-01F,155.95362852236585
DM-01-07-04-02F,59.868268807373916
DM-01-07-04-03F,8.912282414616074
DM-01-07-04-04F,80.34707241285882
DM-01-07-04-05F,81.50462961753863
DM-01-07-04-06F,106.38146684198865
DM-01-08-01-01F,166.27029422010875
DM-01-08-01-02F,137.48711788341402
DM-01-08-02-01F,77.60914969201079
DM-01-08-03-01F,251.35041313287104
DM-01-08-04-01F,84.84595490748124
DM-01-08-04-02F,82.07666444169071
DM-01-09-01-01F,173.3463808748065
DM-01-09-02-01F,89.74149801020674
DM-01-09-02-02F,76.99735598287933
DM-01-09-03-01F,157.13262358093687
DM-01-09-04-01F,205.88804754147318
DM-01-09-05-01F,78.6488002296452
DM-01-09-06-01F,76.18267029246219
DM-01-09-07-01F,339.1495767529122
DM-01-09-08-01F,276.36570546089513
DM-01-09-09-01F,182.22541313287104
DM-01-09-10-01F,118.02333942628741
DM-02-01-01-01F,171.26035488522805
DM-02-01-01-02F,160.20263609030567
DM-02-01-02-01F,49.617545196431045
DM-02-01-02-02F,114.63238183507129
DM-02-01-03-01F,0.25371727607592515
DM-02-01-03-02F,70.88947204320841
DM-02-01-03-03F,328.2260904907242
DM-02-01-04-02F,34.66621991709418
DM-02-01-04-03F,113.98833813713001
DM-02-01-04-05F,73.80511805779568
DM-02-01-07-01F,140.1761823875497
DM-02-02-01-01F,93.48152869482668
DM-02-02-01-02F,285.86327076463976
DM-02-02-02-01F,232.41468309784568
DM-02-02-03-01F,1.6382037706690653
DM-02-02-04-02F,156.88380251892474
DM-02-02-05-02F,0.0
DM-02-02-06-01F,103.8012744088237
DM-02-02-06-02F,45.29108455930942
DM-02-02-07-01F,50.771955552753326
DM-02-02-07-03F,89.11798427267551
DM-02-02-08-01F,140.45334276113277
DM-02-03-01-01F,0.0
DM-02-03-02-01F,50.12642168105044
