,BANGPLEE,LADKRABUNG,MAHASAWAT,MINBURI,PETKASEM,RATBURANA,SUMRONG,BK03,KLONGTAEY,PAHONYOTHIN,THAPRA,TONBURI,LADPRAW,LUMPINEE,BK04,SAMSEN
10,DM-17-02-01-01,DM-07-07-01-01,DM-01-06-01-02,DM-07-07-07-02,DM-11-05-27-01,DM-02-04-06-01,DM-13-04-01-02,DM-04-05-01-01,DM-07-01-04-02,DM-03-03-04-01,DM-02-01-01-01,DM-01-02-01-02,DM-03-05-02-01,DM-05-01-09-02,DM-12-01-02-01,DM-06-01-04-01
11,DM-17-02-02-01,DM-07-07-02-04,DM-01-06-02-01,DM-07-07-09-01,DM-11-05-27-02,DM-02-08-01-01,DM-13-04-01-03,DM-04-05-02-01,DM-07-01-04-04,DM-03-03-05-01,DM-02-01-01-02,DM-01-02-02-02,DM-03-05-06-01,DM-05-02-01-01,DM-12-01-02-02,DM-06-01-04-02
12,DM-17-04-01-01,DM-07-07-06-03,DM-01-06-02-02,DM-07-07-10-01,DM-11-05-27-03,DM-02-08-01-02,DM-13-04-01-04,DM-04-05-03-01,DM-07-01-05-03,DM-03-03-07-01,DM-02-01-02-01,DM-01-02-03-02,DM-03-05-09-01,DM-05-02-01-02,DM-12-01-03-02,DM-06-01-04-03
13,DM-17-04-03-01,DM-07-07-07-03,DM-01-06-02-04,DM-07-07-11-01,DM-11-05-28-01,DM-02-08-02-01,DM-13-04-02-01,DM-04-05-04-01,DM-07-01-05-04,DM-03-03-07-02,DM-02-01-02-02,DM-01-02-04-02,DM-03-05-10-01,DM-05-02-02-01,DM-12-01-04-01,DM-06-01-05-01
14,DM-17-04-03-02,DM-13-03-03-01,DM-01-06-02-05,DM-12-06-09-01,DM-11-05-30-02,DM-02-08-02-02,DM-13-04-03-01,DM-04-05-05-01,DM-07-01-06-01,DM-03-03-08-01,DM-02-01-03-01,DM-01-03-02-01,DM-03-05-11-01,DM-05-02-02-02,DM-12-01-04-02,DM-06-01-05-03
15,DM-17-04-04-01,DM-13-03-03-02,DM-01-06-03-01,DM-12-07-02-02,DM-11-05-31-01,DM-02-08-03-01,DM-13-04-04-01,DM-04-05-06-01,DM-07-01-06-02,DM-03-03-09-01,DM-02-01-03-02,DM-01-03-03-01,DM-03-05-12-02,DM-05-02-02-03,DM-12-01-05-01,DM-06-01-05-04
16,DM-17-04-05-01,DM-13-03-04-01,DM-01-06-03-02,DM-12-07-02-03,DM-11-06-04-01,DM-02-08-04-01,DM-13-04-04-02,DM-04-05-07-01,DM-07-01-06-04,DM-03-03-10-01,DM-02-01-03-03,DM-01-03-04-01,DM-03-06-01-01,DM-05-02-03-01,DM-12-01-05-02,DM-06-01-06-01
17,DM-17-04-05-02,DM-13-03-04-02,DM-01-06-04-01,DM-12-07-04-01,DM-11-06-08-01,DM-02-08-04-02,DM-13-04-05-01,DM-04-05-08-01,DM-07-01-07-01,DM-03-03-11-01,DM-02-01-04-02,DM-01-03-05-01,DM-03-06-01-02,DM-05-02-04-02,DM-12-01-05-03,DM-06-01-06-02
18,DM-17-05-01-01,DM-13-03-04-03,DM-01-06-04-02,DM-12-07-04-02,DM-11-06-09-01,DM-02-08-04-03,DM-13-04-05-02,DM-04-05-09-01,DM-07-01-07-02,DM-03-03-11-02,DM-02-01-04-03,DM-01-03-06-01,DM-03-06-02-02,DM-05-02-05-01,DM-12-01-06-01,DM-06-02-01-01
19,DM-17-05-02-01,DM-13-03-05-01,DM-01-06-05-02,DM-12-07-05-01,DM-11-06-09-04,DM-02-12-03-01,DM-13-04-06-01,DM-04-05-10-01,DM-07-01-08-02,DM-03-03-12-01,DM-02-01-04-04,DM-01-03-06-03,DM-03-06-03-01,DM-05-02-06-01,DM-12-01-07-01,DM-06-02-01-02
