,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
DM-01-01-02-01P,2.1382651970341486,2.0778756746031743,2.12021,2.1498566666666665,2.3935083333333336,5.220233333333335,5.695483333333332,5.612603888888888,4.931083095238095,4.380533888888889,4.195680873015873,3.899731626984128,3.9323324603174594,4.013445277777778,4.120843134920636,4.181040277777778,4.227878492063492,5.117657222222222,5.453166111111111,5.4862850000000005,5.384495625763126,5.011184523809524,3.847185,3.2385005555555555
DM-01-01-02-02P,2.753069063866241,2.593269007936507,2.653013333333334,2.680539642857142,2.866016428571428,5.0741346825396825,5.902074444444444,5.986310555555557,5.617273888888889,5.394698333333334,5.1706577777777785,4.697281666666666,4.729388181818181,4.826180555555556,4.92287388888889,4.969507222222221,4.954453373015872,5.5718394444444455,5.898717222222222,5.96813111111111,5.899345,5.761751666666665,5.057601349206349,4.595593412698414
DM-01-01-03-01P,2.8481270678246493,2.707520515873016,2.7694263095238094,2.8017428174603167,2.991831785714285,5.133877777777777,5.829801785714285,5.858035992063493,5.530300119047618,5.347689365079365,5.141559047619046,4.705283333333333,4.763633928571428,4.863984920634921,4.963509047619048,4.989416111111112,4.9781562301587305,5.553027222222222,5.807892222222224,5.8613598412698416,5.805902777777778,5.686826666666666,5.10312388888889,4.684144444444445
DM-01-01-03-02P,2.552160225392887,2.4250647496947493,2.4868430982905982,2.4946317063492063,2.6375533333333325,4.304012777777777,4.817440555555556,4.793504563492063,4.441744047619049,4.272492222222224,4.13733,3.784821984126984,3.842004444444445,3.878676111111112,3.938676965811966,4.006285,3.975830555555554,4.438388650793652,4.709239444444445,4.795941666666665,4.820096190476189,4.848073333333335,4.380133333333333,4.067131626984128
DM-01-01-03-03P,2.1494825564220723,1.9853100396825396,2.050657698412698,2.0813716666666666,2.2074166666666666,3.9944405555555553,4.666054999999999,4.737098333333334,4.423960555555555,4.263207182539683,4.038374999999999,3.6594565873015865,3.675677103174604,3.7392296825396816,3.7933937301587295,3.838933888888889,3.885612380952381,4.378481706349206,4.606634285714285,4.738457103174603,4.714201666666667,4.589153968253967,4.167987222222222,3.8596072222222215
DM-01-01-04-01P,2.4203659680373395,2.322899065934066,2.3814929365079363,2.4046648015873013,2.560610357142857,4.2876072222222215,5.060789444444444,5.105567301587302,4.8150577777777785,4.690424682539683,4.517692222222223,4.10057,4.154853888888889,4.267081666666667,4.380361111111111,4.417700555555556,4.346063043345542,4.882950436507937,5.165756269841269,5.183233888888891,5.129914444444446,5.105106349206349,4.568487936507937,4.206623983516483
DM-01-01-05-01P,1.2394120111071725,1.109439126984127,1.156734603174603,1.171724523809524,1.572167341269841,3.3906302777777784,4.880275,5.300701111111112,4.74857,4.305038333333332,4.028415,3.59232,3.630701706349206,3.7094177777777775,3.8023909523809527,3.836413888888889,3.8298583333333327,4.630426111111111,5.19307388888889,5.261341111111113,5.180114166666666,4.94356,3.820276111111111,3.158009444444445
DM-01-01-06-01P,4.629193548387096,4.642566666666665,4.708444444444443,4.538816666666666,4.055777777777776,3.280050000000001,2.081322222222222,2.1710722222222225,2.206938888888889,2.225127777777778,2.93715,4.235922222222222,4.600327777777777,4.389505555555557,4.165444444444444,4.1266,3.7758388888888894,3.600372222222221,3.653533333333333,3.7233777777777775,3.8041833333333335,3.8349722222222224,3.927011111111112,4.439327777777778
DM-01-01-06-02P,2.629766256055772,2.183642539682539,2.2418147222222222,2.256718134920635,2.327729880952381,3.48212996031746,4.125922222222222,4.084059365079365,3.7787,3.625781071428571,3.5796311111111114,3.328721111111111,3.3256766666666664,3.344313333333334,3.393618888888889,3.4204055555555555,3.4634560317460314,3.753877222222222,4.065181666666665,4.182341626984128,4.207596666666667,4.296572222222223,4.029036666666666,3.7271416666666655
DM-01-02-01-01P,4.686398338355192,4.628057261904761,4.56862119047619,4.511917460317461,4.456931666666666,4.486226746031747,4.606007698412698,4.676255000000001,4.667426666666667,4.5837666666666665,4.4357750000000005,4.274372777777777,4.065554404761904,3.9120829761904767,3.8096387770562776,3.753203333333333,3.7643777777777774,3.8491311111111113,4.023099880952381,4.212968888888889,4.390651706349207,4.548557222222223,4.662197474747473,4.69728960927961
DM-01-02-01-02P,2.3649588709677425,2.307589999999999,2.4180350000000006,2.4876275,3.1730149999999986,5.980559999999999,6.076945000000003,5.56173,4.924877499999998,4.306129999999999,3.99828,3.8511225000000016,3.878862499999999,4.009109999999998,4.210025000000003,4.322652499999999,4.324569999999999,5.0474975,5.1760875,5.130412499999998,5.128500000000001,4.4659325,3.909555000000001,3.462834999999999
DM-01-02-02-02P,2.185742179191776,2.1674035317460314,2.262468293650794,2.301019444444444,2.516004444444444,4.664474444444445,4.698764444444445,4.303951666666666,3.721728888888889,3.3275322222222217,3.296003055555555,3.190272777777779,3.2712366666666672,3.3934899999999995,3.50553,3.5790255952380945,3.591452023809524,4.130395793650793,4.310634126984128,4.345130992063493,4.241846388888889,4.09607,3.336511944444445,2.9143563095238094
DM-01-02-03-02P,2.016913418817204,1.9224046123412697,1.9899067203968253,2.0015863049206346,2.316267031428572,3.5089621223809515,3.7344004866666665,3.7092029261111112,3.519974657619048,3.4623544762698417,3.312545491984128,3.1220182105555554,3.0699818481746037,3.079866601746032,3.186890256706349,3.220899935396825,3.268994021626985,3.6235487069047614,4.008573661547619,4.067684051587301,4.0219842123626375,3.998491998849206,3.67891124257326,3.1840840173809526
DM-01-02-04-02P,2.37963655499232,1.9236827624206347,1.9868150320238087,2.02540634936508,2.1397482261507936,3.271766254801588,3.8601641533333337,3.91626664234127,3.7359431154059823,3.618753456587301,3.52823735531746,3.281310896190476,3.192646043690476,3.177555340695972,3.2770498517551885,3.3273780497619048,3.361027848134921,3.612508719007936,4.080028154752747,4.2430722675793655,4.179380737261905,4.191111666150794,3.907586184642857,3.419136320714286
DM-01-02-05-01P,1.524517523336878,1.3863015934065932,1.4343770543345544,1.4450499206349208,1.9258256746031743,3.9932696825396814,5.748474087301586,6.252390714285714,5.619127738095239,5.102218333333334,4.786072777777778,4.288767976190475,4.318981666666668,4.389930555555556,4.476434999999998,4.5104066666666665,4.527058888888889,5.47725,6.077588888888888,6.141698333333333,6.062197222222222,5.723339862637363,4.39602111111111,3.668663373015873
DM-01-03-01-01P,2.804135980148882,2.904231666666666,3.176593888888889,3.3086588888888886,3.5090266666666667,5.906998888888889,5.915405000000002,5.300755555555556,4.585924285714286,3.8304522222222217,3.777777777777777,3.812251111111111,3.847832222222222,3.9183511111111113,4.097435,4.223911111111111,4.304323333333333,4.795783888888891,4.874851111111111,4.931073888888889,4.830790000000001,4.42754611111111,3.976239444444444,3.7076577777777775
DM-01-03-02-01P,0.4988751669029895,0.5517469047619048,0.8243603968253971,0.972285,1.261101111111111,4.276172777777777,4.4453032539682535,3.970612301587301,3.1443848809523813,2.3007090476190477,2.2239225505050504,2.199469880952381,2.2056161111111114,2.311211150793651,2.4818278571428576,2.571229166666667,2.6595516666666663,3.349511071428571,3.512387023809524,3.577516904761905,3.4539211507936503,2.784593313492064,2.074084702380952,1.675124603174603
DM-01-03-04-01P,5.208004371972114,5.184676587301585,5.148427738095238,5.140104920634921,5.197606190476191,5.354319444444443,6.936436111111112,8.381566666666664,10.236193888888891,10.254339444444444,10.193345,9.559706666666663,8.89639888888889,8.828078095238093,8.806272222222223,8.79000222222222,8.82782,8.900091666666665,9.56786111111111,9.577239444444444,9.58265388888889,8.272466468253969,6.976024444444445,5.386113531746031
DM-01-03-05-01P,1.4466978642325417,1.4580652380952384,1.728741507936508,1.8534375,2.2839073809523804,4.862513134920635,5.32978611111111,5.162219920634921,4.397820555555556,3.7143011111111104,3.590273888888889,3.5320678174603173,3.4936744444444443,3.582732103174604,3.7145889285714286,3.790500555555555,3.852828888888889,4.591059444444445,4.997552460317461,5.068607735042735,4.926684523809525,4.710128333333333,3.56931,2.957245515873016
DM-01-03-06-01P,0.9314653403048564,0.974936706349206,1.2254872222222224,1.35723246031746,1.7318377777777785,3.9489257539682536,4.241035,4.015237777777777,3.3419801587301587,2.7280655555555566,2.617946111111111,2.5386005555555555,2.558018888888889,2.607295,2.7187,2.791965555555556,2.8738091269841264,3.5589205555555554,3.887525555555556,3.964021388888888,3.819175,3.5518646825396822,2.679084444444444,2.241476666666667
DM-01-03-06-03P,1.147887588621057,1.132512222222222,1.4319933333333337,1.5980738888888892,2.181128333333333,5.362340555555558,5.834674444444444,5.693688333333332,4.927490811688312,4.256031111111112,4.094583492063493,3.873303690476191,3.862183055555556,3.925028849206349,4.035811111111112,4.111002777777777,4.196116666666667,5.048723333333332,5.390805595238095,5.461199206349206,5.337800555555556,4.909865992063492,3.743968095238096,3.09991630952381
DM-01-04-01-01P,0.517869242719646,0.5467080158730158,0.794075833333333,0.9355944444444444,1.1098294444444443,3.51278,3.715147638888889,3.171133333333333,2.4699344444444447,1.619738888888889,1.4968855555555558,1.5096377777777776,1.53741,1.6246305555555554,1.786682777777778,1.90573,1.997496666666667,2.529536111111111,2.6934516666666672,2.770424444444444,2.6927917857142853,2.195846785714285,1.6998127777777776,1.4150401190476194
DM-01-04-02-01P,0.7059162087912088,0.7970907539682539,1.0501028785103788,1.1860611111111112,1.4288219047619044,3.9867977777777783,3.98566888888889,3.473905,2.760291666666666,2.0583914682539683,2.0186566666666668,2.0233094444444446,2.0576055555555555,2.1693416666666665,2.316114444444444,2.3573190079365083,2.407386111111111,2.946838333333334,3.15082111111111,3.2121516666666663,3.1179750000000004,2.588634444444444,2.0301794444444443,1.743634769119769
DM-01-04-03-02P,0.7373198186222379,0.7991044444444444,1.0438694444444443,1.1795505555555552,1.5071799999999995,4.2649888888888885,4.518802222222224,4.116346666666667,3.375119444444444,2.6081799999999995,2.515404444444444,2.459860555555556,2.4499283333333333,2.531241666666667,2.709927222222222,2.7974566666666667,2.8904583333333336,3.54662111111111,3.704472777777778,3.763268888888889,3.652872777777777,3.042634444444445,2.317361666666667,1.899623888888888
DM-01-04-03-03P,1.1851378574382607,1.195125833333333,1.410199642857143,1.5289123015873014,1.969349444444444,4.749917777777777,5.131968333333333,4.862980555555555,4.134512777777778,3.47583,3.3653844444444445,3.2337977777777778,3.21664,3.27742,3.384897777777778,3.453003888888889,3.5745144444444445,4.299301666666668,4.527787222222224,4.58204888888889,4.467047777777778,3.9606783333333344,3.031508888888888,2.4425929761904754
DM-01-04-04-01P,1.5101667466941662,1.4746286507936508,1.7047284126984128,1.835289841269841,2.316954642857142,5.429919999999999,5.986612222222222,5.763989444444444,4.993739801587301,4.245506111111112,4.090412777777778,3.908681111111112,3.8750991666666663,3.931550833333333,4.055582777777778,4.140825,4.270898333333333,5.091318412698413,5.376376984126984,5.437506666666667,5.306008888888888,4.728726944444445,3.629850515873017,2.904786111111112
DM-01-04-05-01P,0.831350955630391,0.8604980555555558,1.1082381746031744,1.2464706746031746,1.5151901587301588,3.9010516666666666,4.17183601010101,3.75495,3.045367777777777,2.403414444444444,2.337921071428572,2.29073119047619,2.294817896825397,2.3775161111111114,2.519609563492064,2.616217393162393,2.6915066666666667,3.2278388888888894,3.3970337301587303,3.368713333333333,3.1865066666666677,2.775264563492064,2.1609288888888885,1.8444838888888888
DM-01-04-06-01P,6.135775748847926,6.178717222222222,6.151749444444443,6.132493888888887,6.170036464646464,7.566531666666668,7.501358333333333,7.441853333333332,8.083299444444442,10.319408888888889,10.416774444444446,10.414930555555552,9.124254444444444,8.22302,7.5643,7.525809444444444,7.520964999999999,7.518557222222221,8.091674999999999,9.736686111111114,9.823322222222224,9.056114444444445,8.700563888888889,6.220824444444446
DM-01-04-06-02P,1.5030273809523813,1.4525505555555551,1.6959922222222223,1.8364305555555551,2.308850555555556,4.969691111111112,5.252203888888889,4.95261888888889,4.365857817460317,3.9815011111111103,3.8590083333333327,3.7099188888888888,3.646437777777778,3.667271666666668,3.6878665656565657,3.762085,3.8582538888888886,4.469067777777778,4.697792777777779,4.9329255555555545,4.882224444444444,4.424976111111111,3.511711666666666,2.8291416666666667
DM-01-05-01-01P,2.034418316495333,1.9437157936507936,2.100640972222222,2.181978888888889,2.85111880952381,5.562458373015873,6.094794444444444,5.85014630952381,5.397667619047619,5.033321507936508,4.991026269841269,4.82405642857143,4.732948809523809,4.756752499999998,4.870395753968254,4.968676666666666,5.190120992063493,5.82646238095238,6.050925595238094,6.104363809523809,6.009232499999999,5.5646723809523815,4.423107976190476,3.266147698412698
DM-01-05-01-02P,1.791366747902635,1.745701150793651,1.9185045634920632,2.0151044444444444,2.6049411111111107,5.672054444444444,6.305054444444445,6.187284444444445,5.505069444444443,4.884031111111112,4.722056666666668,4.484857777777778,4.431384365079365,4.461019246031747,4.575020515873017,4.645656984126983,4.801526468253969,5.650610753968254,5.953923293650792,6.01613261904762,5.893619642857145,5.355230555555555,4.088957698412698,3.1431744444444454
DM-01-05-02-01P,1.4377493412501476,1.4346597222222224,1.5904504761904763,1.6683502380952382,2.086430238095238,4.33429130952381,4.32265373015873,3.8873136507936494,3.432181111111111,3.070146111111112,3.0524863888888896,2.9754359126984133,3.014277777777777,3.131845,3.281347222222222,3.3550600000000013,3.336884047619048,3.793574444444445,3.948023333333333,4.0558788461538455,3.997193333333333,3.7838305555555554,3.0470188888888883,2.4686590476190475
DM-01-05-03-01P,2.098786700933475,1.8872633730158723,2.00488753968254,2.012135555555556,2.2905149206349207,3.395037222222222,3.586512380952382,3.5129969444444447,3.309349444444444,3.258913214285714,3.161566150793651,3.0043544444444445,2.952311825396825,2.948045555555556,3.067677182539682,3.1041416666666666,3.132384444444445,3.4254502777777778,3.8179161111111104,3.919722420634921,3.884308253968253,3.9438440909090895,3.709055555555556,3.271638015873015
DM-01-05-03-02P,3.1976075194966325,3.2043024999999994,3.2060960714285707,3.2064022005772,3.203952301587302,3.2064141269841278,3.206018134920636,3.202876111111112,3.1984518650793645,3.194131111111111,3.1872388888888894,3.183404444444444,3.181986111111111,3.1806522222222227,3.178202777777778,3.175048888888889,3.176766111111112,3.1837805555555554,3.1900338888888893,3.1891683333333334,3.190211666666668,3.191555761183262,3.1913977777777776,3.1905838888888884
DM-01-05-04-01P,2.701519876225925,2.526640555555556,2.606374444444444,2.623280555555556,2.86485746031746,3.9879044444444447,4.2191,4.194457777777776,4.016610753968254,3.973249880952381,3.847735813492063,3.665556666666667,3.605208214285714,3.610790555555555,3.7112648015873018,3.7486527777777785,3.782698888888888,4.082999444444443,4.46945141053391,4.553486984126986,4.511060555555555,4.536827222222223,4.268839166666666,3.799351959706959
DM-01-06-01-01P,2.3350066643034384,2.2438151190476185,2.370303388278388,2.4473853174603173,3.69411992063492,7.10739722222222,8.400832222222222,8.725810714285712,8.50673388888889,8.32042238095238,8.080911111111112,7.692877222222223,7.286788888888889,7.110526111111111,7.164840833333331,7.262118888888889,7.752248888888888,8.558075000000002,8.845067777777778,8.93467484126984,8.770840634920633,7.914658412698413,6.046273888888888,4.002588333333332
DM-01-06-01-02P,2.66791580113435,2.636379893162393,2.784232738095238,2.862228293650793,3.9403478174603177,7.021396825396824,7.629869999999999,7.55356261904762,7.135154206349208,6.964575555555555,6.8880211111111125,6.689313928571429,6.467240555555554,6.425547063492064,6.530844017094016,6.620699999999999,6.947513333333332,7.579615000000001,7.839682222222221,7.941355,7.85365722222222,7.230112182539682,5.723720277777776,4.14258
DM-01-06-02-01P,2.43224523071015,2.37199952991453,2.509991468253969,2.591305873015872,3.5728344444444446,6.541569246031745,7.355056666666667,7.385673333333333,6.989103333333333,6.739976111111113,6.616024027777777,6.39641277777778,6.159012222222222,6.084426111111114,6.185177738095238,6.276106666666667,6.605102777777779,7.265407222222221,7.51946111111111,7.616123531746033,7.4897527777777775,6.883229444444445,5.407663333333335,3.854061666666667
